E_1,E_1_log
-17.9,4.709980550340436
-24.21,4.651481088851342
-19.89,4.691898189497915
-14.05,4.74406218485471
-18.44,4.705106014600691
-19.41,4.696289779355575
-17.12,4.716979861040097
-24.94,4.644487048365042
-10.09,4.777946329938515
-18.3,4.7063720664970585
-13.91,4.745279893972737
-15.18,4.734178866551625
-10.83,4.771701056875722
-22.37,4.668895876868636
-21.47,4.6773047837472905
-24.18,4.651767471364874
-20.15,4.689511334421842
-20.55,4.685828089005546
-22.23,4.670208582167313
-22.51,4.667581446109488
-17.8,4.710880640410205
-12.33,4.75892078579401
-12.84,4.7545380176389145
-18.19,4.707365698302761
-19.2,4.698205051955281
-11.54,4.76567208264212
-17.6,4.712678393703377
-13.74,4.746756550049962
-20.76,4.6838889406994815
-19.74,4.693272634209637
-20.3,4.688131706702438
-19.78,4.692906300292178
-14.92,4.736461571669267
-17.9,4.709980550340436
-18.53,4.704291276855899
-14.53,4.739875888840382
-9.25,4.784988612563927
-9.59,4.78214413645545
-19.85,4.692264892839025
-22.13,4.671145174911624
-10.33,4.775925106410581
-18.89,4.701025671631613
-19.93,4.691531351636135
-9.36,4.784069225980716
-15.93,4.727564794201697
-11.7,4.764308407326388
-21.66,4.675535448648655
-19.48,4.695650539116466
-17.67,4.712049547615187
-13.46,4.749183946126996
-9.87,4.779795536147575
-14.26,4.742232836376431
-19.89,4.691898189497915
-18.71,4.7026598072653485
-15.4,4.732243268551567
-16.9,4.718945200246936
-17.31,4.715279408668121
-18.14,4.707817022948234
-12.86,4.754365752349944
-10.44,4.774997345200357
-13.38,4.74987640698735
-12.33,4.75892078579401
-9.81,4.7802992722005415
-25.26,4.6414056785701865
-17.83,4.7106106984460885
-20.42,4.687026632457924
-20.4,4.6872108963243
-20.69,4.6845357413688316
-18.32,4.70619130004682
-23.41,4.659090027977522
-16.94,4.718588153023648
-15.81,4.72862598991501
-18.01,4.708989514627088
-13.57,4.7482310288287435
-16.76,4.720193862556873
-16.51,4.722419746038331
-13.62,4.747797584237847
-18.62,4.703475874772215
-14.48,4.740312779930385
-16.51,4.722419746038331
-18.11,4.7080877199947775
-24.63,4.647463098178343
-9.98,4.778871360488434
-16.88,4.719123676063936
-13.32,4.75039543814087
-14.1,4.743626929135107
-7.78,4.7971945182434315
-16.66,4.721084810584447
-14.22,4.7425815418110515
-21.2,4.679813728983857
-14.52,4.739963282329623
-18.31,4.706281687356503
-20.61,4.685274430229753
-15.66,4.729950902885397
-15.16,4.734354644368917
-20.02,4.690705474094354
-17.08,4.717337482858839
-15.09,4.734969623522936
-21.82,4.6740430502744665
-18.61,4.703566507844284
-15.21,4.733915141878653
-16.87,4.719212902028751
-16.93,4.718677426781686
-12.93,4.753762590037918
-8.94,4.78757507264335
-8.19,4.793805104838638
-22.25,4.670021158307708
-18.08,4.70835834378426
-18.77,4.70211539204457
-18.4,4.705467907303455
-14.8,4.737513372975805
-13.28,4.75074130930731
-20.69,4.6845357413688316
-19.99,4.690980842401202
-19.46,4.6958332208853335
-13.66,4.747450693244862
-16.12,4.725882261150354
-13.01,4.753072815911587
-19.18,4.698387267699225
-19.34,4.696928611227632
-18.53,4.704291276855899
-23.61,4.657193214055243
-18.98,4.700207601322843
-15.19,4.73409096605493
-16.87,4.719212902028751
-13.3,4.750568388677448
-19.17,4.698478363121743
-21.84,4.673856343776539
-13.53,4.7485776492828204
-12.41,4.758234561714928
-16.24,4.724818148253987
-15.61,4.730392150741473
-13.75,4.746669748261791
-19.21,4.69811393163083
-13.63,4.7477108727702015
-17.53,4.713306844592669
-21.88,4.673482826170178
-20.29,4.688223741123377
-14.77,4.737776150536113
-18.98,4.700207601322843
-20.93,4.682316395164745
-20.5,4.6862892372728835
-22.42,4.668426635623106
-7.89,4.7962862904635415
-18.66,4.703113260318055
-16.75,4.7202829930885954
-15.51,4.731274062783817
-13.19,4.751519082323228
-13.88,4.745540638835367
-8.13,4.794301834710595
-20.14,4.689603241962921
-19.02,4.699843799590773
-19.3,4.697293474863897
-15.9,4.727830198723979
-19.47,4.695741884172478
-14.24,4.742407204293176
-17.85,4.7104306966455844
-15.39,4.732331331604771
-16.9,4.718945200246936
-17.79,4.710970604874303
-18.06,4.708538718965125
-11.39,4.766948841550716
-15.98,4.7271222967388375
-14.38,4.741185989905534
-17.62,4.712498763740616
-16.76,4.720193862556873
-19.04,4.699661849080809
-9.93,4.779291546216706
-20.32,4.68794761244566
-20.21,4.688959711717774
-17.26,4.715727176552735
-18.38,4.70564880455431
-16.38,4.7235752503667126
-16.73,4.720461230322826
-9.07,4.786491242448462
-18.68,4.702931903770587
-7.74,4.79752457848242
-19.85,4.692264892839025
-17.14,4.716801002159277
-14.14,4.743278588105721
-17.29,4.715458539882214
-17.13,4.716890435598499
-14.88,4.736812295039806
-16.72,4.720550337028165
-20.46,4.686658002834359
-15.17,4.734266759322502
-15.46,4.731714727313047
-17.43,4.714203947012214
-14.74,4.738038859062516
-18.59,4.703747749349085
-16.69,4.720817609514053
-19.58,4.694736629347134
-16.07,4.726325307544559
-18.8,4.7018430732483525
-28.95,4.605170185988091
-10.81,4.771870361879089
-19.48,4.695650539116466
-14.45,4.740574822994295
-20.04,4.690521853087595
-10.58,4.773815311965802
-14.55,4.739701078945697
-14.08,4.743801054157313
-15.68,4.729774349212622
-13.51,4.7487509144656155
-17.63,4.71240893665769
-20.35,4.687671407499835
-18.38,4.70564880455431
-19.91,4.691714787388277
-17.45,4.7140245909001735
-18.12,4.707997495787562
-14.35,4.741447804280639
-17.97,4.709350004897755
-13.3,4.750568388677448
-12.74,4.755398899234782
-18.11,4.7080877199947775
-12.9,4.754021132720446
-16.85,4.719391330078114
-16.15,4.725616339063959
-18.9,4.70093480797247
-14.4,4.741011408899505
-16.99,4.718141664647253
-16.32,4.724108110059605
-14.78,4.737688565688235
-21.12,4.680555912893981
-19.36,4.696746129475301
-18.37,4.705739240909787
-20.05,4.690430029938915
