E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,ED2_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d,Y
-19.99,2.77396e-6,0.0012583,-31.45,11,-5.42,-9.75,3.34,4,-8.100000000000001,0.5304324,0.1020472,0.05433676,0.006366067,0.17
-19.46,4.77687e-4,0.815537,-24.08,9,-7.27,-5.19,9.65,2,-4.849999999999998,0.6205298,0.2121224,0.4293251,0.1096195,0.12
-13.66,6.05981e-4,6.32822e-11,-31.84,6,-5.63,0,999999,0,-8.5,0.2345071,0.0596074,0.06319492,0.04289822,0.1
-16.12,7.06117e-4,7.3685e-5,-25.99,9,-3.56,-13.93,1.25,4,-9.34,0.2396387,0.3889168,0.310117,0.09918946,0.04
-13.01,5.66301e-6,1.16582e-4,-25.45,7,-1.65,-11.23,7.43,4,-12.92,0.08704024,0.1500094,0.1822725,0.1063536,0.12
-19.18,1.92527e-7,0.0207698,-30.56,7,-4.17,-16.35,2.28,4,-10.330000000000002,0.8818158,0.1416693,0.03770274,0.04171228,0
-19.34,2.22361e-4,1.56974e-5,-30.8,11,-4.27,-11.59,2.25,4,-8.739999999999998,0.1333563,0.08262297,0.08164688,0.1054729,0
-18.53,0.040294,2.99403e-5,-26.55,10,-7.67,-9.33,3.45,4,-9.36,0.8705114,0.8147224,0.4030667,0.226047,0
-23.61,9.91905e-4,2.61348e-5,-33.89,11,-6.51,-7.45,3.78,4,-6.940000000000001,0.5168287,0.549484,0.1264387,0.08751889,0.12
-18.98,5.11284e-4,5.80849e-5,-29.18,11,-4.44,-7.05,4.47,4,-6.259999999999998,0.4754387,0.3808743,0.1838244,0.1888617,0.13
-15.19,0.00115581,4.24117e-4,-23.74,8,-5.8,-9.41,3.03,4,-7.58,0.3810902,0.4486465,0.900407,0.2452362,0.09
-16.87,1.97424e-4,2.57007e-7,-30.82,2,-1.36,0,999999,0,-12.829999999999998,0.08926049,0.06036132,0.1818966,0.2715113,0.07
-13.3,4.61726e-4,9.91905e-4,-21.89,8,-2.98,-8.39,3.9,4,-4.98,0.9081996,0.1951595,0.08675931,0.07184832,0
-19.17,1.94098e-4,3.28774e-6,-31.63,9,-5.8,-14.71,7.43,4,-7.09,0.1328447,0.1626664,0.1011556,0.1554544,0.01
-21.84,2.77396e-6,4.57876e-5,-35.25,11,-7.49,-7.91,3.98,4,-6.420000000000002,0.1575803,0.07286097,0.1118646,0.1061854,0.02
-13.53,0.0259041,0.00354769,-19,3,-5.38,-9.39,2.98,4,-6.799999999999999,0.572681,0.185709,0.4789175,0.2968931,0.03
-12.41,3.12434e-6,4.38994e-8,-29.84,5,-3.74,-9.47,9.97,4,-8.760000000000002,0.8242507,0.652186,0.1618892,0.06203817,0.01
-16.24,5.47244e-4,0.00392848,-23.92,11,-5.13,-10.19,2.44,4,-5.740000000000002,0.8171435,0.02876991,0.1667936,0.1141133,0.05
-15.61,0.00136988,2.26227e-6,-27.14,8,-2.66,-3.21,6.15,2,-8.129999999999999,0.1628809,0.2870965,0.1169365,0.7799494,0.21
0,0,0,0,0,0,-10.25,16.48,4,-6.25,0.2661883,0.6173203,0.09258008,0.07573577,0.01
-13.75,3.17788e-6,6.16518e-6,-28.26,8,-3.05,-8.45,3.91,4,-11.8,0.05963935,0.09044848,0.01667758,0.5406808,0.02
-19.21,2.54864e-8,9.75193e-4,-33.58,10,-5.13,-10.99,2.58,4,-4.529999999999998,0.01316985,0.07256933,0.2817552,0.5464022,0.05
-13.63,2.96833e-4,2.70382e-5,-24.6,10,-3.59,-6.61,4.91,2,-7.139999999999999,0.3982298,0.1772155,0.1659279,0.3480878,0
-17.53,0.00435013,7.49478e-5,-26.32,10,-4.97,-9.31,3.52,4,-9.959999999999997,0.2388474,0.4155183,0.3667343,0.1749488,0.05
-21.88,0.00348792,1.49209e-7,-34.46,10,-10.1,-13.06,8.99,4,-9.370000000000001,0.1939641,0.391156,0.3375461,0.1420147,0.02
-20.29,0.00736669,4.85993e-6,-30.38,7,-6.8,-16.13,7.2,4,-12.469999999999999,0.05508077,0.09639398,0.6621605,0.7277184,0.16
-14.77,3.23155e-4,0.00348792,-22.83,9,-3.03,-11.93,3.33,4,-5.900000000000002,0.4749974,0.1265797,0.2853145,0.5093466,0.14
-18.98,4.27789e-5,2.36073e-7,-33.88,11,-4.9,-9.69,8.95,2,-11.09,0.1282927,0.1165903,0.05931239,0.298119,0.14
-20.93,2.4006e-5,4.94201e-4,-31.67,12,-4.59,-10.37,3.03,4,-8.780000000000001,0.1178844,0.0597691,0.3681446,0.1360796,0.09
-20.5,0.00966824,9.11336e-6,-30.06,11,-3.09,-14.41,1.01,4,-5.09,0.06360886,0.06461989,0.6390125,0.5005324,0.16
-22.42,0.00176758,0.013814,-28.67,12,-5.68,-15.95,2.49,4,-4.489999999999998,0.03806388,0.3929231,0.2336645,0.2431106,0.07
-7.89,3.07095e-4,4.9032e-9,-23.91,5,-3.04,-4.84,1.22,2,-8.329999999999998,0.8240002,0.009735789,0.05044012,0.1015389,0
-18.66,0.00632201,4.65952e-9,-32.93,8,-4.94,-5.06,0.8,2,-9.530000000000001,0.2991515,0.517098,0.1275363,0.7041024,0.16
-16.75,1.19606e-5,1.78332e-6,-31.21,8,-2.48,-13.37,7.79,6,-9.399999999999999,0.03997857,0.05114098,0.2245091,0.06443925,0.07
-15.51,0.013814,3.92944e-5,-24,10,-3.44,-10.71,2.02,4,-7.270000000000001,0.4468828,0.7037601,0.354287,0.2197139,0.05
-13.19,1.38174e-4,2.70448e-7,-27.32,6,-4.29,-5.59,5.32,2,-10.520000000000001,0.08192337,0.08983453,0.2348366,0.153602,0.01
-13.88,1.84497e-6,7.88674e-5,-27.21,7,-4.23,-6.07,5.1,2,-13.569999999999999,0.1145178,0.04625033,0.4905691,0.01109295,0.34
-8.13,2.04249e-4,8.51869e-10,-25.42,6,-3.91,0,999999,0,-8.47,0.4378804,0.1361884,0.1508041,0.2032938,0.04
-20.14,0.0133525,1.90874e-6,-30.43,9,-5.26,-10.89,7.75,4,-7.050000000000001,0.7364233,0.539801,0.3277875,0.340059,0.2
-19.02,0.00149136,0.173737,-23.88,12,-5.1,-14.75,0.84,4,-3.6999999999999993,0.1508138,0.07937423,0.03937962,0.1482194,0.38
-19.3,9.50767e-5,1.35913e-8,-35.41,9,-5.67,0,999999,0,-5.919999999999998,0.5220588,0.6376431,0.2145586,0.03777004,0.02
-15.9,1.94098e-4,1.08921e-4,-26.3,10,-5.48,-5.83,4.88,4,-8.089999999999998,0.5871645,0.5739411,0.03849452,0.1620423,0.02
-19.47,2.72656e-4,1.09891e-7,-33.73,11,-6.05,-6.18,0.2,2,-10.220000000000002,0.8043115,0.5260187,0.1059577,0.1933109,0.07
-14.24,0.0013018,0.0105256,-20.83,9,-2.27,-12.51,1.96,4,-7.65,0.5010028,0.4028135,0.4330229,0.03304177,0.04
-17.85,0.00688262,1.04429e-7,-30.24,10,-6.44,0,999999,0,-6.149999999999999,0.3733146,0.3543002,0.1394667,0.4980595,0
-15.39,0.00331457,1.29095e-4,-24.02,5,-3.73,-13.75,5.27,4,-4.620000000000001,0.2666553,0.05948048,0.4134345,0.2220664,0.07
-16.9,4.03039e-4,0.00918773,-24.26,5,-3.92,-14.47,0.98,4,-5.210000000000001,0.8342419,0.2855718,0.09532724,0.05139089,0.05
-17.79,9.67061e-5,3.60938e-5,-29.25,12,-2.42,-8.68,0.83,2,-10.34,0.333817,0.3222104,0.2798085,0.0275433,0
-18.06,0.00265761,0.0556486,-23.25,11,-3.83,-14.59,0.92,4,-6.920000000000002,0.2043652,0.08586056,0.1683346,0.139544,0.36
-11.39,2.75083e-7,0.00106167,-24.31,6,-2.44,-11.07,4.03,4,-6.469999999999999,0.01823093,0.004685657,0.4783984,0.03063112,0.02
-15.98,0.00320382,2.00857e-6,-27.08,9,-4.89,0,999999,0,-10.66,0.7845695,0.139544,0.09607928,0.1775416,0
-14.38,0.0317632,0.0537892,-18.13,8,-5.19,-12.23,2.02,4,-5.839999999999998,0.1411953,0.1236105,0.1601914,0.09907602,0
-17.62,4.61726e-4,6.3783e-6,-29.18,7,-3.11,-11.81,7.04,4,-4.849999999999998,0.2314699,0.245769,0.18854,0.08520401,0.02
-16.76,7.06117e-4,1.99182e-7,-30.11,5,-3.39,0,999999,0,-9.61,0.2862894,0.6942222,0.1603059,0.04130604,0.02
-19.04,0.00144153,2.86986e-6,-30.4,10,-5.62,-10.57,7.51,4,-7.280000000000001,0.1249074,0.1399642,0.660205,0.4777095,0.2
-9.93,0.00270316,4.6987e-8,-23.34,1,-0.49,-13.85,9.93,4,-7.32,0.6233772,0.06654218,0.5967326,0.2568622,0.01
-20.32,0.00367033,0.00104378,-27.66,7,-4.47,-13.51,4.04,4,-3.7699999999999996,0.2646537,0.2692504,0.7571421,0.1348842,0.09
-20.21,6.00929e-5,1.06193e-5,-32.67,10,-4.85,-12.57,6.74,4,-4.59,0.068663,0.1289234,0.05056246,0.05166063,0.01
-17.26,0.00360849,4.46408e-6,-27.82,8,-1.82,-12.49,7.25,4,-8.719999999999999,0.2330128,0.2242209,0.5227507,0.3484743,0.01
-18.38,0.00252553,1.75327e-6,-29.7,8,-7.13,-10.71,2.82,4,-9.73,0.3701279,0.1338328,0.1117962,0.2466257,0.07
-16.38,0.00457764,0.00119577,-23.51,9,-3.77,-13.99,1.22,4,-9.010000000000002,0.2027515,0.8800198,0.07636675,0.07678038,0.22
-16.73,1.12686e-4,2.44174e-5,-28.33,10,-5.38,-8.63,3.84,4,-8.419999999999998,0.1993217,0.1662268,0.3266287,0.1236149,0.04
-9.07,6.16367e-4,9.68011e-13,-29.7,6,-5.39,-9.65,0.51,2,-10.39,0.1821093,0.1236149,0.6845496,0.6788203,0.01
-18.68,0.0133525,5.71063e-5,-26.97,10,-3.83,-7,5.48,4,-4.710000000000001,0.6132461,0.07023511,0.3476235,0.683556,0.04
-7.74,7.12229e-5,6.71682e-12,-28.5,3,-2.15,0,999999,0,-12.06,0.208086,0.1358353,0.2402741,0.07810181,0.02
-19.85,1.05282e-4,1.05282e-4,-30.63,9,-5.04,-12.07,2.14,4,-8.34,0.9146639,0.7067498,0.09761183,0.05988383,0.02
-17.14,0.00632201,5.61441e-5,-25.88,8,-4.95,-13.27,0.42,4,-10.059999999999999,0.3558339,0.2886573,0.5878635,0.6678164,0.25
-14.14,3.89572e-4,1.05282e-4,-24.15,10,-5.02,-11.35,2.5,4,-7.620000000000001,0.5878635,0.2671098,0.09806368,0.06974925,0.07
-17.29,1.55627e-4,0.0286845,-24.54,10,-3.46,-13.29,1.24,4,-4.48,0.4529738,0.5009296,0.02899309,0.01757717,0.03
-17.13,6.00929e-5,0.0218561,-25.1,9,-3.96,-14.61,0.91,4,-7.07,0.6634599,0.1583381,0.09588891,0.2897669,0.01
-14.88,8.08936e-4,5.90804e-5,-24.8,7,-2.44,-10.03,5.73,4,-10.67,0.144283,0.1125099,0.3237286,0.6196525,0.09
-16.72,7.49478e-5,9.75432e-6,-29.1,7,-4.93,-5.51,5.29,4,-10.14,0.3302372,0.2625289,0.08332084,0.1550102,0.03
0,0,0,0,0,0,-14.03,8.14,4,-13.21,0.755985,0.683556,0.004750291,0.03464195,0.01
0,0,0,0,0,0,-11.83,11.88,4,-18.23,0.08433114,0.02425022,0.3698376,0.5576492,0.01
-20.46,1.50427e-4,0.00966824,-28.37,8,-5.2,0,999999,0,-6.449999999999999,0.9281287,0.1125571,0.1747781,0.01621313,0.01
-15.17,0.0181299,0.0566023,-19.22,8,-7.9,-13.89,1.27,4,-6.409999999999998,0.7097374,0.6170663,0.4815403,0.7704738,0.02
-15.46,1.24812e-6,6.59717e-4,-27.77,8,-4.84,-14.23,4.31,4,-9.82,0.252414,0.9099133,0.8812619,3.045052e-4,0
-17.43,0.00621549,0.0187566,-22.76,11,-7.5,-13.95,1.24,4,-4.879999999999999,0.4342036,0.5032448,0.4949288,0.1889793,0.02
-14.74,1.3588e-6,8.30125e-7,-30.93,9,-4.3,-9.13,8.24,6,-9.63,0.18118890000000001,0.07935884,0.3202885,0.1712631,0.01
-18.59,4.61726e-4,4.10047e-6,-30.41,11,-4.03,-13.43,7.3,4,-3.960000000000001,0.4078005,0.1871783,0.826589,0.08955754,0.06
-16.69,8.29921e-5,1.79876e-7,-31.36,11,-6.54,-7.49,4.47,2,-5.91,0.1574077,0.1297207,0.04470504,0.1929451,0
-19.58,1.01764e-4,4.13698e-9,-36.35,8,-6.04,0,999999,0,-7.5,0.147471,0.2345585,0.1470048,0.06504741,0
-16.07,0.00186002,3.04683e-9,-31.31,8,-3.99,-6.93,11.54,1,-8.04,0.6836936,0.4551717,0.4482531,0.141416,0
-18.8,4.13495e-5,1.24812e-6,-32.74,11,-5.5,-8.57,8,4,-6.68,0.1478023,0.3904345,0.0567728,0.01453424,0.18
-28.95,0.0323076,0.00151692,-34.79,11,-8.3,-12.53,1.93,4,-10.84,0.6678245,0.5653771,0.2874618,0.4071372,0
-10.81,0.00265761,1.62401e-5,-20.79,6,-3.72,-9.85,6.53,4,-6.83,0.7966278,0.2152386,0.2553719,0.7500791,0.16
-19.48,4.09946e-4,0.00348792,-27.4,7,-4.97,-12.13,2.15,4,-9.23,0.03073647,0.1278204,0.01393443,0.3383744,0
-14.45,2.15036e-8,3.99875e-9,-36.22,7,-4.14,-6.53,11.38,1,-12.29,0.005752672,0.03436848,0.03060365,0.003781971,0
-20.04,9.18999e-5,2.36015e-5,-31.78,11,-5.68,-8.17,4.13,4,-10.010000000000002,0.12452680000000001,0.4310752,0.01346106,0.2188424,0
-10.58,1.66573e-4,1.59782e-11,-30.33,4,-4.67,-4.35,14.63,2,-8.409999999999998,0.07042342,0.9196749,0.1252505,0.4126263,0.01
-14.55,2.11361e-6,2.20561e-7,-31.26,8,-4.89,-4.49,0.19,2,-6.43,0.8520565,0.1306819,0.01598708,0.3188301,0.01
-14.08,0.00367033,4.06528e-5,-23.33,11,-6,-8.31,4,4,-12.53,0.2354983,0.2005314,0.6852783,0.4001989,0.54
-15.68,0.0254677,0.0382914,-19.76,8,-5.06,-15.81,12.12,10,-10.34,0.1231599,0.04737486,0.9795687,0.3168051,0.03
-13.51,0.0307019,8.51242e-4,-19.72,7,-4.04,-7.55,9.38,2,-6.99,0.7768869,0.06898093,0.1372076,0.1214093,0.04
-17.63,5.42681e-5,6.65591e-7,-31.78,8,-4.09,-12.81,1.81,4,-7.420000000000002,0.538663,0.2074737,0.004427356,0.05980729,0.05
-20.35,6.32512e-7,0.0118551,-31.36,10,-5.64,-14.97,2.61,4,-7.889999999999997,0.2664076,0.5741988,0.08065756,0.06845106,0.06
-18.38,0.00235958,2.4006e-5,-28.2,11,-5.65,-10.63,6.26,4,-10.55,0.2278398,0.06850453,0.2661375,0.2071677,0.04
-19.91,2.16791e-5,1.6951e-8,-36.76,7,-4.18,-1.71,7.58,1,-9.760000000000002,0.0582293,0.1373255,0.07980991,0.8713552,0.07
-17.45,2.38e-4,2.00857e-6,-30.08,10,-6.35,-5.14,2.85,2,-9.810000000000002,0.1265534,0.8750666,0.7971804,0.09560316,0.04
-18.12,9.92149e-6,3.23155e-4,-29.63,11,-3.73,-11.55,2.4,4,-9.579999999999998,0.004670553,0.09125765,0.7047712,0.254726,0.06
-14.35,3.54856e-5,6.21702e-5,-26.08,7,-5.11,-14.31,5.7,6,-9.87,0.7928335,0.2889489,0.3465144,0.1014278,0.13
-17.97,2.72656e-4,3.60938e-5,-28.82,11,-5.24,-9.41,3.41,4,-4.57,0.1014278,0.196104,0.6499419,0.2332358,0.05
-13.3,1.24812e-6,2.42198e-8,-31.62,1,-2.05,-17.11,10.32,4,-7.899999999999999,0.4587431,0.05846723,0.03913965,0.1588205,0.08
-12.74,0.00220453,0.154254,-17.44,10,-2.43,-15.05,0.67,4,-9.38,0.5187483,0.0358868,0.1501809,0.1663422,0.07
-18.11,0.0211258,0.294214,-21.1,8,-6.35,-9.29,3.57,4,-10.629999999999999,0.7618306,0.1308773,0.6107669,0.8462676,0.07
-12.9,0.037012,1.92527e-7,-23.94,9,-4.81,-11.43,9.1,4,-6.659999999999998,0.953106,0.7751685,0.976238,0.8601272,0.19
-16.85,8.30125e-7,9.34977e-7,-33.26,7,-5.98,0,999999,0,-4.599999999999998,0.1791739,0.05137579,0.07751844,0.4026316,0.02
-16.15,0.00561303,1.30276e-9,-31.24,10,-5.45,-6.81,12.04,1,-10.880000000000003,0.4622245,0.1912342,0.8702348,0.8669547,0.18
-18.9,5.75865e-4,1.21686e-7,-32.66,9,-6.17,-9.11,9.37,6,-14.160000000000004,0.7753653,0.8669547,0.7885076,0.01461952,0.37
-14.4,2.26172e-4,1.59821e-13,-36.68,5,-7.09,0,999999,0,-9.35,0.1673659,0.09958261,0.2987744,0.36244729999999997,0.03
-16.99,0.00304459,0.0010089,-24.46,8,-5.82,0,999999,0,-9.870000000000001,0.826337,0.2987744,0.1103815,0.1430797,0.03
-16.32,3.86324e-5,1.30276e-9,-34.34,7,-4.75,-7.88,3.11,2,-7.350000000000001,0.8632937,0.1361224,0.1096526,0.8398578,0.03
-14.78,7.81906e-4,1.40542e-4,-24.21,6,-4.66,-8.95,10.28,6,-9.13,0.7761382,0.1175433,0.07809849,0.06090308,0.1
-21.12,3.15061e-5,1.2805e-7,-36.56,7,-4.38,-4.13,5.93,2,-10.25,0.2692562,0.1156966,0.02695178,0.2925881,0.11
-19.36,0.0416869,4.38886e-6,-28.49,10,-5.1,-10.47,7.26,4,-6.379999999999999,0.682295,0.3048518,0.6673171,0.8404439,0.26
-18.37,1.13662e-5,5.52117e-7,-33.55,10,-4.9,-12.33,1.99,4,-6.469999999999999,0.052957,0.09473879,0.2841158,0.04392155,0.29
-20.05,3.79814e-5,0.00115581,-30.02,8,-5.02,0,999999,0,-11.149999999999999,0.01425851,0.04931274,0.05685779,0.0668843,0.14
